model,description,finish,price
1804-4,"Pull Plate 4"" x 16""",605,513.9
1804-4,"Pull Plate 4"" x 16""",613,513.9
1804-4,"Pull Plate 4"" x 16""",613E,387.5
1804-4,"Pull Plate 4"" x 16""",622,503.8
1804-4,"Pull Plate 4"" x 16""",629,513.9
1804-4,"Pull Plate 4"" x 16""",630,323.1
1804-4,"Pull Plate 4"" x 16""",SPECIAL,638.1
1807-4,"Push Plate 4"" x 16""",605,284.1
1807-4,"Push Plate 4"" x 16""",613,284.1
1807-4,"Push Plate 4"" x 16""",613E,256.7
1807-4,"Push Plate 4"" x 16""",622,256.7
1807-4,"Push Plate 4"" x 16""",629,284.1
1807-4,"Push Plate 4"" x 16""",630,109.3
1807-4,"Push Plate 4"" x 16""",710CU,409.7
1807-4,"Push Plate 4"" x 16""",SPECIAL,350.0
1807-25,"Push Plate 4"" x 25""",605,469.3
1807-25,"Push Plate 4"" x 25""",613,469.3
1807-25,"Push Plate 4"" x 25""",613E,424.2
1807-25,"Push Plate 4"" x 25""",622,424.2
1807-25,"Push Plate 4"" x 25""",629,469.3
1807-25,"Push Plate 4"" x 25""",630,180.5
1807-25,"Push Plate 4"" x 25""",710CU,676.9
1807-25,"Push Plate 4"" x 25""",SPECIAL,525.0
1809-4,"Push Plate 4"" x 16""",605,367.9
1809-4,"Push Plate 4"" x 16""",613,367.9
1809-4,"Push Plate 4"" x 16""",613E,332.5
1809-4,"Push Plate 4"" x 16""",622,332.5
1809-4,"Push Plate 4"" x 16""",629,367.9
1809-4,"Push Plate 4"" x 16""",630,141.5
1809-4,"Push Plate 4"" x 16""",710CU,530.6
1809-4,"Push Plate 4"" x 16""",SPECIAL,450.0
1820,"Push/Pull Plate 3-1/2"" x 16-1/2""",605,164.4
1820,"Push/Pull Plate 3-1/2"" x 16-1/2""",613,164.4
1820,"Push/Pull Plate 3-1/2"" x 16-1/2""",613E,95.4
1820,"Push/Pull Plate 3-1/2"" x 16-1/2""",622,124.0
1820,"Push/Pull Plate 3-1/2"" x 16-1/2""",625,134.5
1820,"Push/Pull Plate 3-1/2"" x 16-1/2""",626,123.4
1820,"Push/Pull Plate 3-1/2"" x 16-1/2""",629,164.4
1820,"Push/Pull Plate 3-1/2"" x 16-1/2""",630,73.2
1820,"Push/Pull Plate 3-1/2"" x 16-1/2""",710CU,242.6
1820,"Push/Pull Plate 3-1/2"" x 16-1/2""",SPECIAL,202.4
1820-11,"Push/Pull Plate 8"" x 16-1/2""",605,289.7
1820-11,"Push/Pull Plate 8"" x 16-1/2""",613,289.7
1820-11,"Push/Pull Plate 8"" x 16-1/2""",613E,263.3
1820-11,"Push/Pull Plate 8"" x 16-1/2""",622,342.3
1820-11,"Push/Pull Plate 8"" x 16-1/2""",629,289.7
1820-11,"Push/Pull Plate 8"" x 16-1/2""",630,218.5
1820-11,"Push/Pull Plate 8"" x 16-1/2""",710CU,508.2
1820-11,"Push/Pull Plate 8"" x 16-1/2""",SPECIAL,359.9
1822,"Pull 2"" x 3-3/4""",605,125.3
1822,"Pull 2"" x 3-3/4""",613,125.3
1822,"Pull 2"" x 3-3/4""",613E,80.5
1822,"Pull 2"" x 3-3/4""",622,104.7
1822,"Pull 2"" x 3-3/4""",625,136.1
1822,"Pull 2"" x 3-3/4""",626,176.9
1822,"Pull 2"" x 3-3/4""",629,125.3
1822,"Pull 2"" x 3-3/4""",630,75.85
1822,"Pull 2"" x 3-3/4""",710CU,187.4
1822,"Pull 2"" x 3-3/4""",SPECIAL,155.2
1822-1,"Pull 2"" x 3-3/4""",605,117.3
1822-1,"Pull 2"" x 3-3/4""",613,117.3
1822-1,"Pull 2"" x 3-3/4""",613E,93.1
1822-1,"Pull 2"" x 3-3/4""",622,121.0
1822-1,"Pull 2"" x 3-3/4""",629,118.4
1822-1,"Pull 2"" x 3-3/4""",630,75.9
1822-1,"Pull 2"" x 3-3/4""",710CU,175.9
1822-1,"Pull 2"" x 3-3/4""",SPECIAL,148.3
1822-2,"Pull 3"" x 4-3/4""",605,148.3
1822-2,"Pull 3"" x 4-3/4""",613,148.3
1822-2,"Pull 3"" x 4-3/4""",613E,131.1
1822-2,"Pull 3"" x 4-3/4""",622,170.4
1822-2,"Pull 3"" x 4-3/4""",629,148.3
1822-2,"Pull 3"" x 4-3/4""",630,109.2
1822-2,"Pull 3"" x 4-3/4""",710CU,257.5
1822-2,"Pull 3"" x 4-3/4""",SPECIAL,185.1
1822-2-P,"Pull 3"" x 4-3/4"" w/ Anti-Rotation Pin",605,177.1
1822-2-P,"Pull 3"" x 4-3/4"" w/ Anti-Rotation Pin",613,177.1
1822-2-P,"Pull 3"" x 4-3/4"" w/ Anti-Rotation Pin",613E,161.0
1822-2-P,"Pull 3"" x 4-3/4"" w/ Anti-Rotation Pin",622,209.3
1822-2-P,"Pull 3"" x 4-3/4"" w/ Anti-Rotation Pin",629,177.1
1822-2-P,"Pull 3"" x 4-3/4"" w/ Anti-Rotation Pin",630,139.1
1822-2-P,"Pull 3"" x 4-3/4"" w/ Anti-Rotation Pin",SPECIAL,221.9
1822-3-P,"Pull 2"" x 3-3/4""",605,155.2
1822-3-P,"Pull 2"" x 3-3/4""",613,155.2
1822-3-P,"Pull 2"" x 3-3/4""",613E,110.4
1822-3-P,"Pull 2"" x 3-3/4""",622,143.5
1822-3-P,"Pull 2"" x 3-3/4""",629,155.2
1822-3-P,"Pull 2"" x 3-3/4""",630,95.4
1822-3-P,"Pull 2"" x 3-3/4""",SPECIAL,193.2
1835-2,Push/Pull Plate Combo,630,424.25
1835-2,Push/Pull Plate Combo,710CU,1060.6
1835-3,Push/Pull Plate Combo,630,424.25
1835-3,Push/Pull Plate Combo,710CU,1060.6
1894-3,Push/Pull Plate Combo,605,579.7
1894-3,Push/Pull Plate Combo,613,579.7
1894-3,Push/Pull Plate Combo,613E,473.7
1894-3,Push/Pull Plate Combo,622,473.7
1894-3,Push/Pull Plate Combo,629,579.7
1894-3,Push/Pull Plate Combo,630,331.3
1894-3,Push/Pull Plate Combo,710CU,960.6
1894-3,Push/Pull Plate Combo,SPECIAL,735.8
1894-3B,Push/Pull Plate Combo,605,579.7
1894-3B,Push/Pull Plate Combo,613,579.7
1894-3B,Push/Pull Plate Combo,613E,473.7
1894-3B,Push/Pull Plate Combo,622,473.7
1894-3B,Push/Pull Plate Combo,629,579.7
1894-3B,Push/Pull Plate Combo,630,331.3
1894-3B,Push/Pull Plate Combo,710CU,960.6
1894-3B,Push/Pull Plate Combo,SPECIAL,735.8
1894-4,Push/Pull Plate Combo,605,579.7
1894-4,Push/Pull Plate Combo,613,579.7
1894-4,Push/Pull Plate Combo,613E,473.7
1894-4,Push/Pull Plate Combo,622,473.7
1894-4,Push/Pull Plate Combo,629,579.7
1894-4,Push/Pull Plate Combo,630,331.3
1894-4,Push/Pull Plate Combo,710CU,960.6
1894-4,Push/Pull Plate Combo,SPECIAL,735.8
1894-4B,Push/Pull Plate Combo,605,579.7
1894-4B,Push/Pull Plate Combo,613,579.7
1894-4B,Push/Pull Plate Combo,613E,473.7
1894-4B,Push/Pull Plate Combo,622,473.7
1894-4B,Push/Pull Plate Combo,629,579.7
1894-4B,Push/Pull Plate Combo,630,331.3
1894-4B,Push/Pull Plate Combo,710CU,960.6
1894-4B,Push/Pull Plate Combo,SPECIAL,735.8
1895-3,Push/Pull Plate Combo,605,750.3
1895-3,Push/Pull Plate Combo,613,750.3
1895-3,Push/Pull Plate Combo,613E,613.1
1895-3,Push/Pull Plate Combo,622,613.1
1895-3,Push/Pull Plate Combo,629,750.3
1895-3,Push/Pull Plate Combo,630,428.8
1895-3,Push/Pull Plate Combo,710CU,1243.4
1895-3,Push/Pull Plate Combo,SPECIAL,788.7
1895-3B,Push/Pull Plate Combo,605,750.3
1895-3B,Push/Pull Plate Combo,613,750.3
1895-3B,Push/Pull Plate Combo,613E,613.1
1895-3B,Push/Pull Plate Combo,622,613.1
1895-3B,Push/Pull Plate Combo,629,750.3
1895-3B,Push/Pull Plate Combo,630,428.8
1895-3B,Push/Pull Plate Combo,710CU,1243.4
1895-3B,Push/Pull Plate Combo,SPECIAL,788.7
1895-4,Push/Pull Plate Combo,605,750.3
1895-4,Push/Pull Plate Combo,613,750.3
1895-4,Push/Pull Plate Combo,613E,613.1
1895-4,Push/Pull Plate Combo,622,613.1
1895-4,Push/Pull Plate Combo,629,750.3
1895-4,Push/Pull Plate Combo,630,428.8
1895-4,Push/Pull Plate Combo,710CU,1243.4
1895-4,Push/Pull Plate Combo,SPECIAL,788.7
1895-4B,Push/Pull Plate Combo,605,780.5
1895-4B,Push/Pull Plate Combo,613,780.5
1895-4B,Push/Pull Plate Combo,613E,637.8
1895-4B,Push/Pull Plate Combo,622,637.8
1895-4B,Push/Pull Plate Combo,629,780.5
1895-4B,Push/Pull Plate Combo,630,446.0
1895-4B,Push/Pull Plate Combo,710CU,1293.4
1895-4B,Push/Pull Plate Combo,SPECIAL,1093.4
1896-4B,Push/Pull Plate,605,863.2
1896-4B,Push/Pull Plate,613,863.2
1896-4B,Push/Pull Plate,613E,705.3
1896-4B,Push/Pull Plate,622,705.3
1896-4B,Push/Pull Plate,629,863.2
1896-4B,Push/Pull Plate,630,493.3
1896-4B,Push/Pull Plate,710CU,1430.4
1896-4B,Push/Pull Plate,SPECIAL,1035.9
3070-1,Coat & Hat Hook,605,25.2
3070-1,Coat & Hat Hook,613,31.2
3070-1,Coat & Hat Hook,622,62.9
3070-1,Coat & Hat Hook,625,24.1
3070-1,Coat & Hat Hook,626,24.3
3070-1,Coat & Hat Hook,SPECIAL,29.9
3071,"Coat Hook - 5-1/2"" High",605,100.8
3071,"Coat Hook - 5-1/2"" High",613,100.8
3071,"Coat Hook - 5-1/2"" High",625,89.7
3071,"Coat Hook - 5-1/2"" High",626,88.5
3071,"Coat Hook - 5-1/2"" High",629,100.8
3071,"Coat Hook - 5-1/2"" High",630,69.3
3071,"Coat Hook - 5-1/2"" High",SPECIAL,113.8
3071-1,"Coat Hook - 4-1/2"" High",605,100.8
3071-1,"Coat Hook - 4-1/2"" High",613,100.8
3071-1,"Coat Hook - 4-1/2"" High",625,89.7
3071-1,"Coat Hook - 4-1/2"" High",626,88.5
3071-1,"Coat Hook - 4-1/2"" High",629,100.8
3071-1,"Coat Hook - 4-1/2"" High",630,69.3
3071-1,"Coat Hook - 4-1/2"" High",SPECIAL,113.8
3072,Coat Hook,613E,117.3
3072,Coat Hook,622,152.5
3072,Coat Hook,629,144.25
3072,Coat Hook,630,105.6
3072,Coat Hook,SPECIAL,174.8
3090,Carry Open Bar Assembly,605,108.1
3090,Carry Open Bar Assembly,613,108.1
3090,Carry Open Bar Assembly,625,108.1
3090,Carry Open Bar Assembly,626,106.9
3090,Carry Open Bar Assembly,SPECIAL,134.5
3092,UL Retracting Arm Coordinator,710CU,347.2
3092,UL Retracting Arm Coordinator,SPECIAL,324.2
3093,UL Drop Arm Coordinator,605,257.5
3093,UL Drop Arm Coordinator,613,257.5
3093,UL Drop Arm Coordinator,625,257.5
3093,UL Drop Arm Coordinator,626,159.8
3093,UL Drop Arm Coordinator,SPECIAL,319.6
3094A2,"UL Stop Mounted Coordinator - 32""",710CU,270.2
3094A2,"UL Stop Mounted Coordinator - 32""",SPECIAL,246.0
3094B1,"UL Stop Mounted Coordinator - 52""",710CU,270.2
3094B1,"UL Stop Mounted Coordinator - 52""",SPECIAL,246.0
3094B2,"UL Stop Mounted Coordinator - 52""",710CU,270.2
3094B2,"UL Stop Mounted Coordinator - 52""",SPECIAL,246.0
3094B3,"UL Stop Mounted Coordinator - 52""",710CU,270.2
3094B3,"UL Stop Mounted Coordinator - 52""",SPECIAL,246.0
3094B4,"UL Stop Mounted Coordinator - 52""",710CU,270.2
3094B4,"UL Stop Mounted Coordinator - 52""",SPECIAL,246.0
3094C4,"UL Stop Mounted Coordinator - 60""",710CU,294.3
3094C4,"UL Stop Mounted Coordinator - 60""",SPECIAL,272.5
3094D,UL Stop Mounted Coordinator,710CU,562.2
3094D,UL Stop Mounted Coordinator,SPECIAL,540.4
3094-1,"Filler Bar Only - 12""",710CU,81.6
3094-1,"Filler Bar Only - 12""",SPECIAL,66.7
3094-2,"Filler Bar Only - 24""",710CU,89.7
3094-2,"Filler Bar Only - 24""",SPECIAL,74.7
3094-3,"Filler Bar Only - 36""",710CU,96.6
3094-3,"Filler Bar Only - 36""",SPECIAL,81.6
3094-4,"Filler Bar Only - 48""",710CU,104.6
3094-4,"Filler Bar Only - 48""",SPECIAL,89.7
3094-5,"Filler Bar Only - 60""",710CU,111.5
3094-5,"Filler Bar Only - 60""",SPECIAL,96.6
3094-6,"Filler Bar Only - 72""",710CU,119.6
3094-6,"Filler Bar Only - 72""",SPECIAL,104.6
3095,Steel Mounting Bracket,710CU,69.0
3095,Steel Mounting Bracket,SPECIAL,49.4
3096,Steel Mounting Bracket,710CU,69.0
3096,Steel Mounting Bracket,SPECIAL,49.4
3651,"2-3/4"" T-Strike (A115.3)",605,48.3
3651,"2-3/4"" T-Strike (A115.3)",613,48.3
3651,"2-3/4"" T-Strike (A115.3)",625,48.3
3651,"2-3/4"" T-Strike (A115.3)",626,14.9
3651,"2-3/4"" T-Strike (A115.3)",SPECIAL,59.8
3652,"4-7/8"" ASA Strike (A115.2)",605,56.3
3652,"4-7/8"" ASA Strike (A115.2)",613,56.3
3652,"4-7/8"" ASA Strike (A115.2)",625,56.3
3652,"4-7/8"" ASA Strike (A115.2)",626,17.2
3652,"4-7/8"" ASA Strike (A115.2)",SPECIAL,71.3
3810,UL Automatic Flushbolt,605,135.0
3810,UL Automatic Flushbolt,613,155.4
3810,UL Automatic Flushbolt,613E,149.5
3810,UL Automatic Flushbolt,622,213.55
3810,UL Automatic Flushbolt,625,162.1
3810,UL Automatic Flushbolt,626,130.35
3810,UL Automatic Flushbolt,629,162.1
3810,UL Automatic Flushbolt,630,130.35
3810,UL Automatic Flushbolt,SPECIAL,203.5
3810x3810,UL Automatic Flushbolt,605,289.7
3810x3810,UL Automatic Flushbolt,613,296.6
3810x3810,UL Automatic Flushbolt,613E,287.35
3810x3810,UL Automatic Flushbolt,622,406.25
3810x3810,UL Automatic Flushbolt,625,323.1
3810x3810,UL Automatic Flushbolt,626,279.4
3810x3810,UL Automatic Flushbolt,629,323.1
3810x3810,UL Automatic Flushbolt,630,279.4
3810x3810,UL Automatic Flushbolt,SPECIAL,402.4
3810x3850,UL Automatic Flushbolt with Fire Bolt,605,289.7
3810x3850,UL Automatic Flushbolt with Fire Bolt,613,296.6
3810x3850,UL Automatic Flushbolt with Fire Bolt,613E,296.6
3810x3850,UL Automatic Flushbolt with Fire Bolt,622,385.6
3810x3850,UL Automatic Flushbolt with Fire Bolt,625,323.1
3810x3850,UL Automatic Flushbolt with Fire Bolt,626,279.4
3810x3850,UL Automatic Flushbolt with Fire Bolt,629,323.1
3810x3850,UL Automatic Flushbolt with Fire Bolt,630,279.4
3810x3850,UL Automatic Flushbolt with Fire Bolt,SPECIAL,402.4
3820,UL Semi-Automatic Flushbolt,605,135.0
3820,UL Semi-Automatic Flushbolt,613,149.5
3820,UL Semi-Automatic Flushbolt,613E,155.4
3820,UL Semi-Automatic Flushbolt,622,213.55
3820,UL Semi-Automatic Flushbolt,625,162.1
3820,UL Semi-Automatic Flushbolt,626,130.35
3820,UL Semi-Automatic Flushbolt,629,162.1
3820,UL Semi-Automatic Flushbolt,630,130.35
3820,UL Semi-Automatic Flushbolt,SPECIAL,203.5
3820x3810,UL Semi-Automatic Flushbolt,605,289.7
3820x3810,UL Semi-Automatic Flushbolt,613,296.6
3820x3810,UL Semi-Automatic Flushbolt,613E,287.35
3820x3810,UL Semi-Automatic Flushbolt,622,406.25
3820x3810,UL Semi-Automatic Flushbolt,625,323.1
3820x3810,UL Semi-Automatic Flushbolt,626,279.4
3820x3810,UL Semi-Automatic Flushbolt,629,323.1
3820x3810,UL Semi-Automatic Flushbolt,630,279.4
3820x3810,UL Semi-Automatic Flushbolt,SPECIAL,402.4
3820x3850,UL Semi-Automatic Flushbolt with Fire Bolt,605,289.7
3820x3850,UL Semi-Automatic Flushbolt with Fire Bolt,613,296.6
3820x3850,UL Semi-Automatic Flushbolt with Fire Bolt,613E,296.6
3820x3850,UL Semi-Automatic Flushbolt with Fire Bolt,622,385.6
3820x3850,UL Semi-Automatic Flushbolt with Fire Bolt,625,323.1
3820x3850,UL Semi-Automatic Flushbolt with Fire Bolt,626,279.4
3820x3850,UL Semi-Automatic Flushbolt with Fire Bolt,629,323.1
3820x3850,UL Semi-Automatic Flushbolt with Fire Bolt,630,279.4
3820x3850,UL Semi-Automatic Flushbolt with Fire Bolt,SPECIAL,402.4
3815L,UL Automatic Flushbolt,605,166.7
3815L,UL Automatic Flushbolt,613,171.3
3815L,UL Automatic Flushbolt,613E,157.4
3815L,UL Automatic Flushbolt,622,208.0
3815L,UL Automatic Flushbolt,625,186.3
3815L,UL Automatic Flushbolt,626,159.8
3815L,UL Automatic Flushbolt,629,186.3
3815L,UL Automatic Flushbolt,630,159.8
3815L,UL Automatic Flushbolt,SPECIAL,234.5
3815Lx3815L,UL Automatic Flushbolt,605,330.0
3815Lx3815L,UL Automatic Flushbolt,613,339.2
3815Lx3815L,UL Automatic Flushbolt,613E,339.2
3815Lx3815L,UL Automatic Flushbolt,622,438.15
3815Lx3815L,UL Automatic Flushbolt,625,371.4
3815Lx3815L,UL Automatic Flushbolt,626,317.3
3815Lx3815L,UL Automatic Flushbolt,629,371.4
3815Lx3815L,UL Automatic Flushbolt,630,317.3
3815Lx3815L,UL Automatic Flushbolt,SPECIAL,465.6
3815Lx3850,UL Automatic Flushbolt with Fire Bolt,605,330.0
3815Lx3850,UL Automatic Flushbolt with Fire Bolt,613,339.2
3815Lx3850,UL Automatic Flushbolt with Fire Bolt,613E,339.2
3815Lx3850,UL Automatic Flushbolt with Fire Bolt,622,404.9
3815Lx3850,UL Automatic Flushbolt with Fire Bolt,625,371.4
3815Lx3850,UL Automatic Flushbolt with Fire Bolt,626,317.3
3815Lx3850,UL Automatic Flushbolt with Fire Bolt,629,371.4
3815Lx3850,UL Automatic Flushbolt with Fire Bolt,630,317.3
3815Lx3850,UL Automatic Flushbolt with Fire Bolt,SPECIAL,465.6
3825L,UL Semi-Automatic Flushbolt,605,166.7
3825L,UL Semi-Automatic Flushbolt,613,171.3
3825L,UL Semi-Automatic Flushbolt,613E,171.3
3825L,UL Semi-Automatic Flushbolt,622,208.0
3825L,UL Semi-Automatic Flushbolt,625,186.3
3825L,UL Semi-Automatic Flushbolt,626,159.8
3825L,UL Semi-Automatic Flushbolt,629,186.3
3825L,UL Semi-Automatic Flushbolt,630,159.8
3825L,UL Semi-Automatic Flushbolt,SPECIAL,234.5
3825Lx3815L,UL Semi-Automatic Flushbolt,605,330.0
3825Lx3815L,UL Semi-Automatic Flushbolt,613,339.2
3825Lx3815L,UL Semi-Automatic Flushbolt,613E,339.2
3825Lx3815L,UL Semi-Automatic Flushbolt,622,441.0
3825Lx3815L,UL Semi-Automatic Flushbolt,625,371.4
3825Lx3815L,UL Semi-Automatic Flushbolt,626,317.3
3825Lx3815L,UL Semi-Automatic Flushbolt,629,371.4
3825Lx3815L,UL Semi-Automatic Flushbolt,630,317.3
3825Lx3815L,UL Semi-Automatic Flushbolt,SPECIAL,465.6
3825Lx3850,UL Semi-Automatic Flushbolt with Fire Bolt,605,330.0
3825Lx3850,UL Semi-Automatic Flushbolt with Fire Bolt,613,339.2
3825Lx3850,UL Semi-Automatic Flushbolt with Fire Bolt,613E,339.2
3825Lx3850,UL Semi-Automatic Flushbolt with Fire Bolt,622,441.0
3825Lx3850,UL Semi-Automatic Flushbolt with Fire Bolt,625,371.4
3825Lx3850,UL Semi-Automatic Flushbolt with Fire Bolt,626,317.3
3825Lx3850,UL Semi-Automatic Flushbolt with Fire Bolt,629,371.4
3825Lx3850,UL Semi-Automatic Flushbolt with Fire Bolt,630,317.3
3825Lx3850,UL Semi-Automatic Flushbolt with Fire Bolt,SPECIAL,465.6
3830A,Finish Kit Only,605,54.0
3830A,Finish Kit Only,613,54.0
3830A,Finish Kit Only,613E,54.0
3830A,Finish Kit Only,622,70.2
3830A,Finish Kit Only,625,59.8
3830A,Finish Kit Only,626,50.6
3830A,Finish Kit Only,629,59.8
3830A,Finish Kit Only,630,50.6
3830A,Finish Kit Only,SPECIAL,74.7
3830AL,Long Finish Kit Only,605,54.0
3830AL,Long Finish Kit Only,613,54.0
3830AL,Long Finish Kit Only,613E,54.0
3830AL,Long Finish Kit Only,622,70.2
3830AL,Long Finish Kit Only,625,59.8
3830AL,Long Finish Kit Only,626,50.6
3830AL,Long Finish Kit Only,629,59.8
3830AL,Long Finish Kit Only,630,50.6
3830AL,Long Finish Kit Only,SPECIAL,74.7
3830M,Finish Kit Only,605,54.0
3830M,Finish Kit Only,613,54.0
3830M,Finish Kit Only,613E,54.0
3830M,Finish Kit Only,622,70.2
3830M,Finish Kit Only,625,59.8
3830M,Finish Kit Only,626,50.6
3830M,Finish Kit Only,629,59.8
3830M,Finish Kit Only,630,50.6
3830M,Finish Kit Only,SPECIAL,74.7
3830WL,Long Finish Kit Only,605,54.0
3830WL,Long Finish Kit Only,613,54.0
3830WL,Long Finish Kit Only,613E,54.0
3830WL,Long Finish Kit Only,622,70.2
3830WL,Long Finish Kit Only,625,59.8
3830WL,Long Finish Kit Only,626,50.6
3830WL,Long Finish Kit Only,629,59.8
3830WL,Long Finish Kit Only,630,50.6
3830WL,Long Finish Kit Only,SPECIAL,74.7
3850,Fire Bolt - Edge Mount (630 Only),630,207.0
3900,Dubl-Bolt - Two Point Flushbolt,605,526.6
3900,Dubl-Bolt - Two Point Flushbolt,613,526.6
3900,Dubl-Bolt - Two Point Flushbolt,613E,526.6
3900,Dubl-Bolt - Two Point Flushbolt,622,684.6
3900,Dubl-Bolt - Two Point Flushbolt,625,526.6
3900,Dubl-Bolt - Two Point Flushbolt,626,507.0
3900,Dubl-Bolt - Two Point Flushbolt,SPECIAL,657.7
3910,Dust Proof Strike,605,44.8
3910,Dust Proof Strike,613,44.8
3910,Dust Proof Strike,613E,44.8
3910,Dust Proof Strike,622,63.0
3910,Dust Proof Strike,625,44.8
3910,Dust Proof Strike,626,34.5
3910,Dust Proof Strike,629,44.8
3910,Dust Proof Strike,630,34.5
3910,Dust Proof Strike,SPECIAL,56.3
3910N,Dust Proof Strike,605,36.8
3910N,Dust Proof Strike,613,36.8
3910N,Dust Proof Strike,613E,36.8
3910N,Dust Proof Strike,622,47.8
3910N,Dust Proof Strike,625,36.8
3910N,Dust Proof Strike,626,28.7
3910N,Dust Proof Strike,629,36.8
3910N,Dust Proof Strike,630,28.7
3910N,Dust Proof Strike,SPECIAL,46.0
3911,Adjustable Dust Proof Strike,605,55.2
3911,Adjustable Dust Proof Strike,613,51.85
3911,Adjustable Dust Proof Strike,613E,51.85
3911,Adjustable Dust Proof Strike,622,67.4
3911,Adjustable Dust Proof Strike,625,55.2
3911,Adjustable Dust Proof Strike,626,43.7
3911,Adjustable Dust Proof Strike,629,55.2
3911,Adjustable Dust Proof Strike,630,43.7
3911,Adjustable Dust Proof Strike,SPECIAL,69.0
3913,UL Manual Flushbolt,605,64.4
3913,UL Manual Flushbolt,613,64.4
3913,UL Manual Flushbolt,613E,64.4
3913,UL Manual Flushbolt,622,86.0
3913,UL Manual Flushbolt,625,64.4
3913,UL Manual Flushbolt,626,48.4
3913,UL Manual Flushbolt,SPECIAL,81.6
W3913,UL Wrought Manual Flushbolt,605,56.3
W3913,UL Wrought Manual Flushbolt,613,56.3
W3913,UL Wrought Manual Flushbolt,613E,56.3
W3913,UL Wrought Manual Flushbolt,622,73.2
W3913,UL Wrought Manual Flushbolt,625,56.3
W3913,UL Wrought Manual Flushbolt,626,46.0
W3913,UL Wrought Manual Flushbolt,SPECIAL,72.4
3915,UL Manual Flushbolt,605,83.9
3915,UL Manual Flushbolt,613,83.9
3915,UL Manual Flushbolt,613E,83.9
3915,UL Manual Flushbolt,622,109.1
3915,UL Manual Flushbolt,625,83.9
3915,UL Manual Flushbolt,626,60.9
3915,UL Manual Flushbolt,SPECIAL,106.9
3916,Manual Flushbolt,605,387.5
3916,Manual Flushbolt,613,387.5
3916,Manual Flushbolt,613E,387.5
3916,Manual Flushbolt,622,503.8
3916,Manual Flushbolt,625,387.5
3916,Manual Flushbolt,626,301.2
3916,Manual Flushbolt,SPECIAL,484.0
3916,Manual Flushbolt,605,9.2
3916,Manual Flushbolt,613,9.2
3916,Manual Flushbolt,613E,9.2
3916,Manual Flushbolt,622,12.0
3916,Manual Flushbolt,625,9.2
3916,Manual Flushbolt,626,8.0
3916,Manual Flushbolt,SPECIAL,11.5
3917-12,"UL Manual Flushbolt - 12""",605,46.0
3917-12,"UL Manual Flushbolt - 12""",613,46.0
3917-12,"UL Manual Flushbolt - 12""",613E,43.2
3917-12,"UL Manual Flushbolt - 12""",622,56.2
3917-12,"UL Manual Flushbolt - 12""",625,55.2
3917-12,"UL Manual Flushbolt - 12""",626,35.6
3917-12,"UL Manual Flushbolt - 12""",SPECIAL,69.0
3917-18,"UL Manual Flushbolt - 18""",605,72.4
3917-18,"UL Manual Flushbolt - 18""",613,72.4
3917-18,"UL Manual Flushbolt - 18""",613E,72.4
3917-18,"UL Manual Flushbolt - 18""",622,94.1
3917-18,"UL Manual Flushbolt - 18""",625,80.5
3917-18,"UL Manual Flushbolt - 18""",626,60.9
3917-18,"UL Manual Flushbolt - 18""",SPECIAL,88.5
3917-24,"UL Manual Flushbolt - 24""",605,73.6
3917-24,"UL Manual Flushbolt - 24""",613,73.6
3917-24,"UL Manual Flushbolt - 24""",613E,73.6
3917-24,"UL Manual Flushbolt - 24""",622,95.7
3917-24,"UL Manual Flushbolt - 24""",625,81.6
3917-24,"UL Manual Flushbolt - 24""",626,62.1
3917-24,"UL Manual Flushbolt - 24""",SPECIAL,89.7
3917-36,"UL Manual Flushbolt - 36""",605,74.7
3917-36,"UL Manual Flushbolt - 36""",613,74.7
3917-36,"UL Manual Flushbolt - 36""",613E,74.7
3917-36,"UL Manual Flushbolt - 36""",622,97.1
3917-36,"UL Manual Flushbolt - 36""",625,83.9
3917-36,"UL Manual Flushbolt - 36""",626,63.2
3917-36,"UL Manual Flushbolt - 36""",SPECIAL,92.0
3917-48,"UL Manual Flushbolt - 48""",605,77.0
3917-48,"UL Manual Flushbolt - 48""",613,77.0
3917-48,"UL Manual Flushbolt - 48""",613E,77.0
3917-48,"UL Manual Flushbolt - 48""",622,100.1
3917-48,"UL Manual Flushbolt - 48""",625,86.2
3917-48,"UL Manual Flushbolt - 48""",626,64.4
3917-48,"UL Manual Flushbolt - 48""",SPECIAL,93.1
3917-12ET,Manual Flushbolt - Extended Throw,605,64.4
3917-12ET,Manual Flushbolt - Extended Throw,613,64.4
3917-12ET,Manual Flushbolt - Extended Throw,613E,64.4
3917-12ET,Manual Flushbolt - Extended Throw,622,83.7
3917-12ET,Manual Flushbolt - Extended Throw,625,64.4
3917-12ET,Manual Flushbolt - Extended Throw,626,52.9
3917-12ET,Manual Flushbolt - Extended Throw,SPECIAL,81.6
W3917-12,"UL Wrought Manual Flushbolt - 12""",605,44.8
W3917-12,"UL Wrought Manual Flushbolt - 12""",613,44.8
W3917-12,"UL Wrought Manual Flushbolt - 12""",613E,44.8
W3917-12,"UL Wrought Manual Flushbolt - 12""",622,58.2
W3917-12,"UL Wrought Manual Flushbolt - 12""",625,44.8
W3917-12,"UL Wrought Manual Flushbolt - 12""",626,34.5
W3917-12,"UL Wrought Manual Flushbolt - 12""",SPECIAL,56.3
W3917-18,"UL Wrought Manual Flushbolt - 18""",605,71.3
W3917-18,"UL Wrought Manual Flushbolt - 18""",613,71.3
